"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000386274400552816
0.002998,-0.000636948097565414
0.003996,-0.000979737490051696
0.004994,-0.00140792100178806
0.005992,-0.00191478261271176
0.00699,-0.00249528463392655
0.007988,-0.00314839845421039
0.008986,-0.00388031118196108
0.009984,-0.00470881580568952
0.010982,-0.00542276335841536
0.01198,-0.00627865401190431
0.012978,-0.00730335788030575
0.013976,-0.0085239076989008
0.014974,-0.00997253227299901
0.015972,-0.0116881307844933
0.01697,-0.0137181831749263
0.017968,-0.0161212421766242
0.018966,-0.0189702129629257
0.019964,-0.0223567110643784
0.020962,-0.0263969087920784
0.02196,-0.0312394496331643
0.022958,-0.0370762480055908
0.023956,-0.0441573198229588
0.024954,-0.0528112223133179
0.025952,-0.0634731990998246
0.02695,-0.0767235937898741
0.027948,-0.0933390551954263
0.028946,-0.114357212497882
0.029944,-0.141148486667839
0.030942,-0.175468462050933
0.03194,-0.219413466452251
0.032938,-0.275091480395512
0.033936,-0.343633458319142
0.034934,-0.423041324862463
0.035932,-0.504947880365723
0.03693,-0.572803770399721
0.037928,-0.606923021698006
0.038926,-0.597084078702283
0.039924,-0.550375521804424
0.040922,-0.484409126657293
0.04192,-0.415309753260543
0.042918,-0.35231600311883
0.043916,-0.298772808130738
0.044914,-0.254785652130779
0.045912,-0.219165872789977
0.04691,-0.190428784926251
0.047908,-0.16719953677926
0.048906,-0.148333678344968
0.049904,-0.13292172468371
0.050902,-0.120255400640905
0.0519,-0.109787077340075
0.052898,-0.101093430898033
0.053896,-0.0938460568376628
0.054894,-0.0877887580033962
0.055892,-0.0827203493111706
0.05689,-0.0784817479313766
0.057888,-0.0749462973471333
0.058886,-0.0720125001625068
0.059884,-0.0695985370887146
0.060882,-0.0676381111283592
0.06188,-0.0660772784518961
0.062878,-0.0648720180035289
0.063876,-0.0639863580377302
0.064874,-0.0633909259386705
0.065872,-0.0630618227349817
0.06687,-0.0629797493465224
0.067868,-0.063129330444617
0.068866,-0.0634985957887985
0.069864,-0.0640785893977942
0.070862,-0.0648630849156075
0.07186,-0.0658483917683781
0.072858,-0.0670332417103251
0.073856,-0.0684187495338908
0.074854,-0.070008445391212
0.075852,-0.0718083796083466
0.07685,-0.073827304312864
0.077848,-0.0760769398758778
0.078846,-0.0785723383493046
0.079844,-0.081332361056918
0.080842,-0.0843802936466686
0.08184,-0.0877446297146539
0.082838,-0.091460064213806
0.083836,-0.095568751144868
0.084834,-0.100121897715225
0.085832,-0.105181790959435
0.08683,-0.110824385178235
0.087828,-0.117142622961079
0.088826,-0.124250724061313
0.089824,-0.132289762371293
0.090822,-0.141434972575408
0.09182,-0.151905400934125
0.092818,-0.163976763384097
0.093816,-0.177998735551531
0.094814,-0.194418429567617
0.095812,-0.213812598037767
0.09681,-0.236932279118509
0.097808,-0.264765363099773
0.098806,-0.298625232586163
0.099804,-0.340277671233634
0.100802,-0.386109530084802
0.1018,-0.441590872220322
0.102798,-0.510970974495571
0.103796,-0.598263765299208
0.104794,-0.708912715369953
0.105792,-0.85024040599025
0.10679,-1.03186743497003
0.107788,-1.26572823604771
0.108786,-1.56465129550944
0.109784,-1.93709224472793
0.110782,-2.37376394862416
0.11178,-2.82357740076231
0.112778,-3.17431491992996
0.113776,-3.28903026970776
0.114774,-3.11575916350277
0.115772,-2.74071501314037
0.11677,-2.30080742264576
0.117768,-1.88977247502467
0.118766,-1.54428173774583
0.119764,-1.26758383570184
0.120762,-1.05012910013239
0.12176,-0.879860966232108
0.122758,-0.746000443440184
0.123756,-0.639944580513179
0.124754,-0.555135106397027
0.125752,-0.486659873255712
0.12675,-0.430854464095733
0.127748,-0.384977214007595
0.128746,-0.34696340612856
0.129744,-0.315245173385383
0.130742,-0.288621150534581
0.13174,-0.266162356767179
0.132738,-0.247144037645966
0.133736,-0.230996016080086
0.134734,-0.217266257022144
0.135732,-0.20559391060863
0.13673,-0.195689200688746
0.137728,-0.187318296687728
0.138726,-0.180291844824736
0.139724,-0.174456211033199
0.140722,-0.169686752413937
0.14172,-0.165882621148694
0.142718,-0.162962738179197
0.143716,-0.160862669860103
0.144714,-0.159532210412868
0.145712,-0.158933524089886
0.14671,-0.159039738910979
0.147708,-0.159833912465085
0.148706,-0.161308312294117
0.149704,-0.163463970760741
0.150702,-0.166310488506911
0.1517,-0.16986607275462
0.152698,-0.174157807686057
0.153696,-0.179222164744386
0.154694,-0.185105771647078
0.155692,-0.191866470951004
0.15669,-0.199574712994119
0.157688,-0.208315344978514
0.158686,-0.218189879145169
0.159684,-0.229319350126896
0.160682,-0.241847906959634
0.16168,-0.255947332063407
0.162678,-0.271822742217799
0.163676,-0.289719811437673
0.164674,-0.309933971680133
0.165672,-0.332822207430235
0.16667,-0.358818283257667
0.167668,-0.38845255705701
0.168666,-0.422377976781693
0.169664,-0.461404496011704
0.170662,-0.50654506503303
0.17166,-0.559077696756421
0.172658,-0.620630077730245
0.173656,-0.693296103420181
0.174654,-0.779798019634406
0.175652,-0.883714194243504
0.17665,-1.00980176399752
0.177648,-1.16445635650281
0.178646,-1.35636787702819
0.179644,-1.59744871215614
0.180642,-1.90411398843925
0.18164,-2.29893273126771
0.182638,-2.81238737211891
0.183636,-3.48350207160569
0.184634,-4.35501745113293
0.185632,-5.44977304637358
0.18663,-6.69418013043663
0.187628,-7.75495781891262
0.188626,-8.01854399150103
0.189624,-7.25991575553476
0.190622,-6.00612743485197
0.19162,-4.77906169233368
0.192618,-3.76859721475412
0.193616,-2.98658388004567
0.194614,-2.39300072381932
0.195612,-1.94301001740116
0.19661,-1.59953114206105
0.197608,-1.33462225483121
0.198606,-1.12792608541676
0.199604,-0.964756344618168
0.200602,-0.834503682768265
0.2016,-0.729450872938524
0.202598,-0.643930084983364
0.203596,-0.573733247142089
0.204594,-0.515700868036808
0.205592,-0.467434323391794
0.20659,-0.427093111539649
0.207588,-0.393250699926952
0.208586,-0.364791014334297
0.209584,-0.340833351300548
0.210582,-0.320677354721976
0.21158,-0.303762297513235
0.212578,-0.289636666932548
0.213576,-0.277935248181493
0.214574,-0.268361721202655
0.215572,-0.260675353240163
0.21657,-0.254680766242405
0.217568,-0.250220037887438
0.218566,-0.247166594333864
0.219564,-0.245420496372982
0.220562,-0.244904825288326
0.22156,-0.245562951998023
0.222558,-0.247356531035134
0.223556,-0.250264105318094
0.224554,-0.254280242579104
0.225552,-0.259415152778264
0.22655,-0.265694760143922
0.227548,-0.273161225498342
0.228546,-0.281873935850086
0.229544,-0.291911000359608
0.230542,-0.303371316261448
0.23154,-0.316377296902023
0.232538,-0.331078388840335
0.233536,-0.34765554865815
0.234534,-0.366326906299838
0.235532,-0.387354915239245
0.23653,-0.411055387202955
0.237528,-0.437808939856195
0.238526,-0.468075562887938
0.239524,-0.502413249999315
0.240522,-0.541501978262542
0.24152,-0.586174781125732
0.242518,-0.637458313944506
0.243516,-0.696626235295125
0.244514,-0.765270048293066
0.245512,-0.845393950805317
0.24651,-0.939543014630642
0.247508,-1.0509780828776
0.248506,-1.18391680712373
0.249504,-1.34386928161594
0.250502,-1.53811043098004
0.2515,-1.77635240898182
0.252498,-2.0717135302265
0.253496,-2.44213465058067
0.254494,-2.91248820098425
0.255492,-3.51780339409792
0.25649,-4.30840893041785
0.257488,-5.35870133517831
0.258486,-6.78369530928684
0.259484,-8.7748471839516
0.260482,-11.6902262770913
0.26148,-16.2816528700527
0.262478,-22.0988914602133
0.263476,-17.5531546242214
0.264474,-12.618931381032
0.265472,-9.54790970657264
0.26647,-7.4850233370556
0.267468,-6.01973615104445
0.268466,-4.9407141668827
0.269464,-4.12537675026964
0.270462,-3.4966337032179
0.27146,-3.00339571138623
0.272458,-2.61058421259265
0.273456,-2.29348434208637
0.274454,-2.03432521948223
0.275452,-1.82010834571949
0.27645,-1.64118164286143
0.277448,-1.49027953971011
0.278446,-1.36186393803169
0.279444,-1.25166421042323
0.280442,-1.1563514325729
0.28144,-1.07330463946084
0.282438,-1.00044108522981
0.283436,-0.936091609364574
0.284434,-0.878908186826738
0.285432,-0.82779471518198
0.28643,-0.781854773974382
0.287428,-0.740351924835227
0.288426,-0.702679389351274
0.289424,-0.66833683030871
0.290422,-0.636912592289998
0.29142,-0.608070210966368
0.292418,-0.581538331713706
0.293416,-0.557103424999625
0.294414,-0.534604874481323
0.295412,-0.513932162359764
0.29641,-0.49502399847799
0.297408,-0.477869344527944
0.298406,-0.462510379489721
0.299404,-0.449047541853758
0.300402,-0.437646870914137
0.3014,-0.428549953474336
0.302398,-0.422086859844443
0.303396,-0.418692514177712
0.304394,-0.418926969484227
0.305392,-0.423500012217297
0.30639,-0.433300346522197
0.307388,-0.449429209974324
0.308386,-0.473237506851689
0.309384,-0.506364203230257
0.310382,-0.550771531869009
0.31138,-0.608769177577965
0.312378,-0.683014769227433
0.313376,-0.776471660574066
0.314374,-0.89229777654415
0.315372,-1.03363320389925
0.31637,-1.20325331156133
0.317368,-1.40306516904072
0.318366,-1.58209054360572
0.319364,-1.77237037880195
0.320362,-1.9969453710476
0.32136,-2.26297181181811
0.322358,-2.57918619440603
0.323356,-2.95616323820288
0.324354,-3.40650488404459
0.325352,-3.94481443527601
0.32635,-4.58714141655675
0.327348,-5.3492181211479
0.328346,-6.24201758434439
0.329344,-7.26155415969725
0.330342,-8.36742657761707
0.33134,-9.4456553007472
0.332338,-10.2761009356344
0.333336,-10.592907076566
0.334334,-10.2926745445703
0.335332,-9.54203777808699
0.33633,-8.6033214749628
0.337328,-7.66037838847612
0.338326,-6.79821022706243
