"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000337835719552923
0.002998,-0.000560593688763472
0.003996,-0.000865232392202128
0.004994,-0.0012458269932385
0.005992,-0.00169650921526708
0.00699,-0.00221298639916433
0.007988,-0.00279465758097469
0.008986,-0.00344752396142578
0.009984,-0.00418817223514865
0.010982,-0.00488900167390426
0.01198,-0.00570952855083258
0.012978,-0.00667193678787987
0.013976,-0.00780025075675362
0.014974,-0.0091237825218556
0.015972,-0.0106784733134033
0.01697,-0.0125086535377783
0.017968,-0.0146693691266464
0.018966,-0.0172294805147884
0.019964,-0.0202758238600259
0.020962,-0.0239188428614358
0.02196,-0.028300267935162
0.022958,-0.033603655062747
0.023956,-0.0400689161709165
0.024954,-0.0480123785712184
0.025952,-0.0578543489565178
0.02695,-0.0701564066249773
0.027948,-0.0856700375158563
0.028946,-0.105394923118122
0.029944,-0.130634658829044
0.030942,-0.163009464494502
0.03194,-0.204319204514062
0.032938,-0.256020337268348
0.033936,-0.317915898129608
0.034934,-0.385762504497679
0.035932,-0.448753571163163
0.03693,-0.490627323545592
0.037928,-0.498069235498395
0.038926,-0.470747273499592
0.039924,-0.420907212757579
0.040922,-0.363528057994782
0.04192,-0.308849239781624
0.042918,-0.261426353463502
0.043916,-0.2221882282258
0.044914,-0.19042068128547
0.045912,-0.164906658309527
0.04691,-0.144430712435526
0.047908,-0.127951759394781
0.048906,-0.114632935670816
0.049904,-0.103820043795872
0.050902,-0.0950071791941095
0.0519,-0.0878038217559976
0.052898,-0.0819075611747847
0.053896,-0.0770828081541444
0.054894,-0.0731446250764806
0.055892,-0.0699465870143936
0.05689,-0.0673716984311162
0.057888,-0.0653255868094229
0.058886,-0.0637313814516001
0.059884,-0.0625258384655049
0.060882,-0.0616563898537444
0.06188,-0.0610788813284966
0.062878,-0.0607558268409564
0.063876,-0.0606550538587849
0.064874,-0.0607486468772678
0.065872,-0.0610121210430097
0.06687,-0.0614237756803813
0.067868,-0.0619641907983689
0.068866,-0.0626158396580369
0.069864,-0.0633627981666737
0.070862,-0.06419053794444
0.07186,-0.0650857949167369
0.072858,-0.0660365096369466
0.073856,-0.0670318395827706
0.074854,-0.0680622477031986
0.075852,-0.0691196758213763
0.07685,-0.0701978164461691
0.077848,-0.0712925024890616
0.078846,-0.072402241794423
0.079844,-0.0735289328805536
0.080842,-0.0746788106740696
0.08184,-0.0758636874167219
0.082838,-0.0771025758750989
0.083836,-0.0784238116522957
0.084834,-0.0798678318385677
0.085832,-0.0814908227970266
0.08683,-0.0833695268085686
0.087828,-0.0856076046384538
0.088826,-0.0883441020169402
0.089824,-0.0917647818945777
0.090822,-0.0961173897232688
0.09182,-0.101732358391189
0.092818,-0.10905109616245
0.093816,-0.118664929789999
0.094814,-0.131369137447834
0.095812,-0.148238512532197
0.09681,-0.170733857584183
0.097808,-0.200853155489326
0.098806,-0.24134749049389
0.099804,-0.296030789500589
0.100802,-0.344144981066073
0.1018,-0.397594571052981
0.102798,-0.464655693075715
0.103796,-0.549655947841595
0.104794,-0.658375716050784
0.105792,-0.798235952449994
0.10679,-0.977852842361925
0.107788,-1.20466831424604
0.108786,-1.47800405102377
0.109784,-1.77449939108043
0.110782,-2.0307089857068
0.11178,-2.15172008491911
0.112778,-2.0765770426156
0.113776,-1.84053406575184
0.114774,-1.5387767193416
0.115772,-1.24885200247543
