"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000358300935691028
0.002998,-0.000590191399193411
0.003996,-0.000906885898372794
0.004994,-0.00130180082941182
0.005992,-0.00176832082833984
0.00699,-0.00230140795694547
0.007988,-0.00289984746857454
0.008986,-0.00356934304338187
0.009984,-0.00432676253953241
0.010982,-0.00504227521828341
0.01198,-0.00587915543630521
0.012978,-0.00685975642193306
0.013976,-0.00800824041275141
0.014974,-0.00935408317353788
0.015972,-0.0109334195411565
0.01697,-0.0127908078870171
0.017968,-0.0149815611379079
0.018966,-0.0175748503189551
0.019964,-0.0206578696332697
0.020962,-0.0243414704036609
0.02196,-0.02876783895199
0.022958,-0.0341210281379554
0.023956,-0.0406414707603554
0.024954,-0.0486460080584404
0.025952,-0.058555406301758
0.02695,-0.0709315936876656
0.027948,-0.0865262709380225
0.028946,-0.106339350556108
0.029944,-0.131675399617209
0.030942,-0.1641586603454
0.03194,-0.205602179568005
0.032938,-0.257498291857109
0.033936,-0.319730888879456
0.034934,-0.388195447627309
0.035932,-0.452219688197178
0.03693,-0.495468809052295
0.037928,-0.50418906420383
0.038926,-0.477512152889127
0.039924,-0.427524431601651
0.040922,-0.369452017089938
0.04192,-0.313871994602898
0.042918,-0.265564861959443
0.043916,-0.225557359801712
0.044914,-0.19315709524716
0.045912,-0.167135738273498
0.04691,-0.146256656197309
0.047908,-0.12945750293314
0.048906,-0.115883341446415
0.049904,-0.104865621087164
0.050902,-0.0958873828506317
0.0519,-0.0885497045422655
0.052898,-0.0825438172480568
0.053896,-0.0776293181769562
0.054894,-0.0736176166875132
0.055892,-0.0703595062556337
0.05689,-0.0677358663902907
0.057888,-0.0656506971013624
0.058886,-0.0640258794999953
0.059884,-0.0627972125377236
0.060882,-0.0619113957179187
0.06188,-0.0613237165250609
0.062878,-0.0609962662998793
0.063876,-0.0608965555008169
0.064874,-0.0609964335830949
0.065872,-0.0612712437221412
0.06687,-0.061699160952038
0.067868,-0.0622606758902883
0.068866,-0.0629381964496398
0.069864,-0.063715747790335
0.070862,-0.0645787569694383
0.07186,-0.0655139138444343
0.072858,-0.0665091042122279
0.073856,-0.0675534152622305
0.074854,-0.0686372175073093
0.075852,-0.0697523317339396
0.07685,-0.0708922945130342
0.077848,-0.0720527418191135
0.078846,-0.0732319377967758
0.079844,-0.074431485311038
0.080842,-0.0756572674549586
0.08184,-0.076920685801079
0.082838,-0.0782402834489489
0.083836,-0.0796438710482928
0.084834,-0.0811713150918988
0.085832,-0.0828782043340911
0.08683,-0.0848406886165575
0.087828,-0.0871618939747034
0.088826,-0.0899804722437484
0.089824,-0.093482062473174
0.090822,-0.0979147549006442
0.09182,-0.103610100144401
0.092818,-0.111011862685309
0.093816,-0.120715677767333
0.094814,-0.133524183375798
0.095812,-0.150524286309327
0.09681,-0.173196311630714
0.097808,-0.203569349700264
0.098806,-0.24444379870831
0.099804,-0.299711690831367
