"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000377866645238876
0.002998,-0.000625060283306348
0.003996,-0.000963323335550302
0.004994,-0.00138624380224443
0.005992,-0.00188745154285415
0.00699,-0.0024622440036235
0.007988,-0.00310984927827053
0.008986,-0.00383653633809565
0.009984,-0.00465986829282791
0.010982,-0.00536486310551144
0.01198,-0.00621862837329889
0.012978,-0.00724712013597474
0.013976,-0.0084761758980302
0.014974,-0.00993678727212141
0.015972,-0.0116666564656562
0.01697,-0.013712155812275
0.017968,-0.0161308424951807
0.018966,-0.0189947404488621
0.019964,-0.0223946843463925
0.020962,-0.026446137603646
0.02196,-0.0312970620878684
0.022958,-0.0371386501556967
0.023956,-0.0442200498203653
0.024954,-0.0528686333779082
0.025952,-0.0635178534143061
0.02695,-0.0767451540113515
0.027948,-0.0933222871719094
0.028946,-0.114278406221584
0.029944,-0.140969091209551
0.030942,-0.175124000241608
0.03194,-0.218795214106349
0.032938,-0.27401977528777
0.033936,-0.341830553209179
0.034934,-0.42013947475592
0.035932,-0.500613495629186
0.03693,-0.567037432387622
0.037928,-0.600344432887548
0.038926,-0.590757219699667
0.039924,-0.545191621015435
0.040922,-0.480693885140875
0.04192,-0.41293104676961
0.042918,-0.350962889856525
0.043916,-0.298137643069383
0.044914,-0.25462765804016
0.045912,-0.219314363527951
0.04691,-0.190767913205028
0.047908,-0.167651967378122
0.048906,-0.148847931134692
0.049904,-0.133463392011584
0.050902,-0.120801323330753
0.0519,-0.110321548240017
0.052898,-0.101605728335549
0.053896,-0.0943288361983546
0.054894,-0.0882369954254666
0.055892,-0.0831306421274364
0.05689,-0.0788518475024592
0.057888,-0.075274794830841
0.058886,-0.072298614075338
0.059884,-0.0698419694301189
0.060882,-0.0678389502568224
0.06188,-0.066235934246367
0.062878,-0.0649891796153738
0.063876,-0.064062967671387
0.064874,-0.063428164176576
0.065872,-0.0630611023135439
0.06687,-0.0629427152287654
0.067868,-0.0630578646726246
0.068866,-0.063394826032411
0.069864,-0.06394490040849
0.070862,-0.0647021322873013
0.07186,-0.0656631175261957
0.072858,-0.0668268913106517
0.073856,-0.0681948898731684
0.074854,-0.0697709833899515
0.075852,-0.0715615808601484
0.07685,-0.073575811158851
0.077848,-0.0758257880725416
0.078846,-0.0783269712247064
0.079844,-0.0810986396715848
0.080842,-0.0841645009559959
0.08184,-0.0875534660189918
0.082838,-0.0913006302106893
0.083836,-0.0954485135657771
0.084834,-0.100048630697568
0.085832,-0.105163483773364
0.08683,-0.110869103413025
0.087828,-0.117258305365951
0.088826,-0.124444890334174
0.089824,-0.132569097423084
0.090822,-0.141804738882898
0.09182,-0.152368610622745
