"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000386158144790474
0.002998,-0.000635087358529877
0.003996,-0.000975589063802668
0.004994,-0.00140108634331912
0.005992,-0.00190503568399209
0.00699,-0.00248258751326681
0.007988,-0.00313289923600334
0.008986,-0.00386231650501491
0.009984,-0.00468872715654774
0.010982,-0.00539261890869166
0.01198,-0.00624833745027155
0.012978,-0.00728141858491024
0.013976,-0.00851720506768521
0.014974,-0.00998626299185298
0.015972,-0.0117259599546192
0.01697,-0.0137824339816044
0.017968,-0.0162131114798373
0.018966,-0.0190899908898972
0.019964,-0.0225039905243184
0.020962,-0.02657077549313
0.02196,-0.0314386442929502
0.022958,-0.0372992890266493
0.023956,-0.0444025643827513
0.024954,-0.0530768215183846
0.025952,-0.0637568583191756
0.02695,-0.0770219624715661
0.027948,-0.0936464035171315
0.028946,-0.114662737838065
0.029944,-0.141431027900346
0.030942,-0.17568649003783
0.03194,-0.219487155339834
0.032938,-0.274873953428787
0.033936,-0.342875472509935
0.034934,-0.421380145035567
0.035932,-0.50200180186589
0.03693,-0.56845417706647
0.037928,-0.601634344761059
0.038926,-0.591812394906882
0.039924,-0.545998898131794
0.040922,-0.481303720318164
0.04192,-0.413404948757172
0.042918,-0.351347552571511
0.043916,-0.298462541816279
0.044914,-0.254910217373034
0.045912,-0.21956489814232
0.04691,-0.190992781030477
0.047908,-0.167855327372984
0.048906,-0.149032680783923
0.049904,-0.133631667921687
0.050902,-0.120954776255787
0.0519,-0.110461501293206
0.052898,-0.10173327325235
0.053896,-0.0944448954844282
0.054894,-0.0883423648125683
0.055892,-0.0832260210561877
0.05689,-0.078937861933554
0.057888,-0.0753520148947835
0.058886,-0.0723675680985785
0.059884,-0.0699031553261227
0.060882,-0.0678928449464948
0.06188,-0.066283001571846
0.062878,-0.0650298770818514
0.063876,-0.0640977522640419
0.064874,-0.0634574974383018
0.065872,-0.0630854548243901
0.06687,-0.0629625705940585
0.067868,-0.0630737231004083
0.068866,-0.0634072075592091
0.069864,-0.063954347814449
0.070862,-0.0647092137256311
0.07186,-0.0656684288770871
0.072858,-0.0668310582552923
0.073856,-0.0681985696685136
0.074854,-0.069774866309031
0.075852,-0.0715663912446657
0.07685,-0.073582308010378
0.077848,-0.0758347650843952
0.078846,-0.0783392561279179
0.079844,-0.081115092733728
0.080842,-0.0841860124297112
0.08184,-0.0875809522864119
0.082838,-0.0913350283082952
0.083836,-0.0954907737002404
0.084834,-0.100099706274333
0.085832,-0.105224318354969
0.08683,-0.110940613902904
0.087828,-0.117341360577564
0.088826,-0.124540283961285
0.089824,-0.132677514289286
0.090822,-0.141926713246954
0.09182,-0.152504475306265
0.092818,-0.164682838096198
0.093816,-0.178806084912803
0.094814,-0.195313533841314
0.095812,-0.214770765330057
0.09681,-0.237912871879053
0.097808,-0.265705017984225
0.098806,-0.299428179186355
0.099804,-0.340801841440529
0.100802,-0.383928265892939
0.1018,-0.436519962103663
0.102798,-0.503577331627204
0.103796,-0.589323226121418
0.104794,-0.699506702819016
0.105792,-0.841915241224172
0.10679,-1.02688799061004
0.107788,-1.26745593965393
0.108786,-1.57802048152777
0.109784,-1.96891802298909
0.110782,-2.43192502875618
0.11178,-2.9130090622174
0.112778,-3.28881725027609
0.113776,-3.40685056082483
0.114774,-3.21214104365578
0.115772,-2.80526681146097
0.11677,-2.33730399356861
0.117768,-1.90649573327084
0.118766,-1.54834803089366
0.119764,-1.26381951103794
0.120762,-1.041559788052
0.12176,-0.868359991369156
0.122758,-0.732750568363357
0.123756,-0.625718949429969
0.124754,-0.540459782952606
0.125752,-0.471907097066329
0.12675,-0.416296779042578
0.127748,-0.370819580023905
0.128746,-0.333362782189529
0.129744,-0.302322835186211
0.130742,-0.276470698409514
0.13174,-0.25485510344243
0.132738,-0.236732761996723
0.133736,-0.221517671330101
0.134734,-0.208743992467062
0.135732,-0.198038630924297
0.13673,-0.189100805729583
0.137728,-0.181686694886189
0.138726,-0.175597802134921
0.139724,-0.170672077474367
0.140722,-0.166777095346758
0.14172,-0.163804785876486
0.142718,-0.161667350734521
0.143716,-0.160294092939769
0.144714,-0.159628960748372
0.145712,-0.159628657694807
0.14671,-0.160261209379823
0.147708,-0.161504906646568
0.148706,-0.163347567121018
0.149704,-0.165786074722722
0.150702,-0.168826171164536
0.1517,-0.17248248579528
0.152698,-0.176778801316949
0.153696,-0.181748563720663
0.154694,-0.187435655979099
0.155692,-0.193895467376192
0.15669,-0.201196304713946
0.157688,-0.209421209056811
0.158686,-0.218670263489774
0.159684,-0.229063505335875
0.160682,-0.24074459278548
0.16168,-0.25388542421506
0.162678,-0.268691973205612
0.163676,-0.285411689888698
0.164674,-0.304342938996886
0.165672,-0.325847110185488
0.16667,-0.350364266148199
0.167668,-0.378433517052292
0.168666,-0.410719767553383
0.169664,-0.448049136931522
0.170662,-0.491456295780723
0.17166,-0.542248331499075
0.172658,-0.602091753717955
0.173656,-0.673132179883928
0.174654,-0.75816053014557
0.175652,-0.860845790237412
0.17665,-0.986063254574683
0.177648,-1.1403591315733
0.178646,-1.33260673649027
0.179644,-1.57492101840879
0.180642,-1.8838878357443
0.18164,-2.28207254037504
0.182638,-2.79942262912164
0.183636,-3.47306366680695
0.184634,-4.34069514794193
0.185632,-5.41393253989006
0.18663,-6.600871202991
0.187628,-7.56442216062609
0.188626,-7.75822052367677
0.189624,-7.03132058541444
0.190622,-5.86125901906588
0.19162,-4.70690784687886
0.192618,-3.74346171870604
0.193616,-2.9877416089639
0.194614,-2.40684420319987
0.195612,-1.96125620478625
0.19661,-1.6173435001231
0.197608,-1.34928555626211
0.198606,-1.13800650392965
0.199604,-0.969590257612217
0.200602,-0.833891526156552
0.2016,-0.723474827668972
0.202598,-0.632845610162007
0.203596,-0.557904475514387
0.204594,-0.495562024774638
0.205592,-0.443466552221495
0.20659,-0.399810365713478
0.207588,-0.363190893384109
0.208586,-0.332510150298445
0.209584,-0.306901271369664
0.210582,-0.28567432466019
0.21158,-0.268276007329399
0.212578,-0.254259453903824
0.213576,-0.243261499414118
0.214574,-0.234985504604109
0.215572,-0.229188378831691
0.21657,-0.225670804001102
0.217568,-0.224269921164423
0.218566,-0.224853925301139
0.219564,-0.227318147190181
0.220562,-0.231582300600231
0.22156,-0.23758864933197
0.222558,-0.245300909353027
0.223556,-0.254703751231925
0.224554,-0.265802810462142
0.225552,-0.278625150166087
0.22655,-0.293220153579313
0.227548,-0.30966085387569
0.228546,-0.328045737515601
0.229544,-0.348501085722701
0.230542,-0.371183948501999
0.23154,-0.39628587871952
0.232538,-0.42403759252725
0.233536,-0.45471476977776
0.234534,-0.488645267768885
0.235532,-0.526218098538141
0.23653,-0.567894620400015
0.237528,-0.614222527114015
0.238526,-0.665853394766104
0.239524,-0.723564783425566
0.240522,-0.788288210641096
0.24152,-0.861144748918876
0.242518,-0.943490595058837
0.243516,-1.03697578099919
0.244514,-1.14362033834732
0.245512,-1.26591383074424
0.24651,-1.40694643539494
0.247508,-1.57058299785387
0.248506,-1.76169618069416
0.249504,-1.98648173479349
0.250502,-2.25288928699894
0.2515,-2.57121800155584
0.252498,-2.95495191650805
0.253496,-3.42195210867318
0.254494,-3.99619700837227
0.255492,-4.71039890563151
0.25649,-5.61008606220071
0.257488,-6.76023117312971
0.258486,-8.25623351120096
0.259484,-10.2402264740285
0.260482,-12.9008791216594
0.26148,-16.1873350385515
0.262478,-17.8241272018045
0.263476,-15.2221488208743
0.264474,-11.9691294809572
0.265472,-9.44746783546887
0.26647,-7.56301451186694
0.267468,-6.13520817383661
0.268466,-5.03539520432249
0.269464,-4.17629372393295
0.270462,-3.49727158718423
0.27146,-2.95503553983213
0.272458,-2.51799942400831
0.273456,-2.16274556793156
0.274454,-1.87169541629451
0.275452,-1.63151718784651
0.27645,-1.4320076673894
0.277448,-1.2652922329691
0.278446,-1.12524493520429
0.279444,-1.00706382322435
0.280442,-0.906957321108046
0.28144,-0.821910854545005
0.282438,-0.749511951157283
0.283436,-0.687818260180931
0.284434,-0.635257293440533
0.285432,-0.590549771206414
0.28643,-0.552650653599999
0.287428,-0.520703514918979
0.288426,-0.494005056628465
0.289424,-0.471977381592675
0.290422,-0.454146256367547
0.29142,-0.440124032836263
0.292418,-0.429596229712334
0.293416,-0.422311020259162
0.294414,-0.418071057809169
0.295412,-0.416727211811877
0.29641,-0.418173896234544
0.297408,-0.422345758060582
0.298406,-0.429215563036482
0.299404,-0.438793173817978
0.300402,-0.451125566314714
0.3014,-0.46629787670766
0.302398,-0.484435517309682
0.303396,-0.505707447021599
0.304394,-0.530330734569866
0.305392,-0.558576613296187
0.30639,-0.590778298890961
0.307388,-0.627340930892151
0.308386,-0.66875411102059
0.309384,-0.715607654181619
0.310382,-0.768611351134602
0.31138,-0.828619778156646
0.312378,-0.896663494781186
0.313376,-0.973988366333037
0.314374,-1.06210525851238
0.315372,-1.16285300574664
0.31637,-1.27847838402254
0.317368,-1.41173784770872
0.318366,-1.56602702253339
0.319364,-1.74554533177219
0.320362,-1.95550448998737
0.32136,-2.20239046790955
0.322358,-2.49428784604972
0.323356,-2.84127083422098
0.324354,-3.25585120824304
0.325352,-3.75343730623316
0.32635,-4.35266890423137
0.327348,-5.07526999492977
0.328346,-5.94449059690957
0.329344,-6.97971758852705
0.330342,-8.18106150356764
0.33134,-9.4899888178796
0.332338,-10.7098862060914
0.333336,-11.4455234479239
0.334334,-11.3244724963741
0.335332,-10.4385900200095
0.33633,-9.53790069911286
0.337328,-8.62795789492996
0.338326,-7.72656833196991
0.339324,-6.87558952654111
0.340322,-6.09280244946832
0.34132,-5.38300727492982
0.342318,-4.7446543355425
0.343316,-4.17340962606878
0.344314,-3.66396682414048
0.345312,-3.21092388325457
0.34631,-2.80917440614163
0.347308,-2.45405080172425
0.348306,-2.14134279540861
0.349304,-1.8672564146013
0.350302,-1.62834868608324
0.3513,-1.42145781049652
0.352298,-1.24364019853746
0.353296,-1.09212074557723
0.354294,-0.964259277340227
0.355292,-0.857533441894393
0.35629,-0.769536226407286
0.357288,-0.697984769744696
0.358286,-0.640736311593397
0.359284,-0.595806991458143
0.360282,-0.561389702184081
0.36128,-0.535868129277947
0.362278,-0.51782523677147
0.363276,-0.506045570568728
0.364274,-0.499511675231173
0.365272,-0.497395570891112
0.36627,-0.499046597382791
0.367268,-0.503977040090599
0.368266,-0.511846872297484
0.369264,-0.522448754307494
0.370262,-0.535694184063358
0.37126,-0.551601445054834
0.372258,-0.570285775087201
0.373256,-0.591951998559698
0.374254,-0.616889728107457
0.375252,-0.645471143533191
0.37625,-0.678151286481046
0.377248,-0.715470754474374
0.378246,-0.758060621089541
0.379244,-0.806649330061333
0.380242,-0.862071184782749
0.38124,-0.925275847941479
0.382238,-0.997337934461526
0.383236,-1.07946526424435
0.384234,-1.17300355902047
0.385232,-1.27943421667675
0.38623,-1.40036015352943
0.387228,-1.53747244350263
0.388226,-1.69248751807375
0.389224,-1.86704107970312
0.390222,-2.06252102456722
0.39122,-2.27981867189849
0.392218,-2.51897784760354
0.393216,-2.77872933158497
0.394214,-3.05592105550766
0.395212,-3.34490162754658
0.39621,-3.63699350393228
0.397208,-3.92029535103878
0.398206,-4.18013806587336
0.399204,-4.4004901237141
0.400202,-4.56634813865546
0.4012,-4.66664407974026
0.402198,-4.69669779066808
0.403196,-4.6591868437255
0.404194,-4.56321493047954
0.405192,-4.42196659127921
0.40619,-4.24997424395194
0.407188,-4.06090238402122
0.408186,-3.86624796988419
0.409184,-3.67489344413226
0.410182,-3.49323158464014
0.41118,-3.32557180562746
0.412178,-3.17461994651084
0.413176,-3.04191349803045
0.414174,-2.92815742633014
0.415172,-2.83343878639476
0.41617,-2.7573087881351
0.417168,-2.6987183099099
0.418166,-2.65578740674893
0.419164,-2.62539704350026
0.420162,-2.60264083035462
0.42116,-2.58030838651069
0.422158,-2.5488127446467
0.423156,-2.49721427913028
0.424154,-2.41585295280799
0.425152,-2.30010308749569
0.42615,-2.15323431427263
0.427148,-1.98603851163352
0.428146,-1.81301076198152
0.429144,-1.64755100120445
0.430142,-1.4989081939669
0.43114,-1.37163734775534
0.432138,-1.2666567931107
0.433136,-1.18271594363699
0.434134,-1.1175945928114
0.435132,-1.06886246386024
0.43613,-1.03427496062193
0.437128,-1.01193591936572
0.438126,-1.0003338946217
0.439124,-0.998319883855968
0.440122,-1.00506403347826
0.44112,-1.02000981222256
0.442118,-1.04283357020088
0.443116,-1.07341205247483
0.444114,-1.11179796108096
0.445112,-1.15820264244784
0.44611,-1.21298463355158
0.447108,-1.27664271609134
0.448106,-1.34981208784151
0.449104,-1.43326214581567
0.450102,-1.52789410973432
0.4511,-1.63473623005282
0.452098,-1.75493355115597
0.453096,-1.88972805575246
0.454094,-2.04042341520471
0.455092,-2.20832644657114
0.45609,-2.39465474234888
0.457088,-2.60039700238588
0.458086,-2.82610999072069
0.459084,-3.07163520455631
0.460082,-3.33572211541847
0.46108,-3.61555814372528
0.462078,-3.90623562408293
0.463076,-4.20024087033467
0.464074,-4.48713217983699
0.465072,-4.75366382852793
0.46607,-4.984653040416
0.467068,-5.16477537097742
0.468066,-5.2811291616204
0.469064,-5.32590917300117
0.470062,-5.29819710919828
0.47106,-5.2040850622267
0.472058,-5.05509053582149
0.473056,-4.86559047330403
0.474054,-4.65026349715199
0.475052,-4.42223456589809
0.47605,-4.19212106059817
0.477048,-3.96782121389616
0.478046,-3.7547595579997
0.479044,-3.55633507086764
0.480042,-3.37440406896672
0.48104,-3.20971030197506
0.482038,-3.06222905808927
0.483036,-2.93142185491464
0.484034,-2.81641129037541
0.485032,-2.71608914868355
0.48603,-2.62916990578785
0.487028,-2.55419940149043
0.488026,-2.48952653317052
0.489024,-2.43324585438949
0.490022,-2.38312248089483
0.49102,-2.33651940318891
0.492018,-2.29036219846705
0.493016,-2.241195213041
0.494014,-2.18539731418611
0.495012,-2.11961413386997
0.49601,-2.04140089984894
0.497008,-1.94994658263265
0.498006,-1.84661354483688
0.499004,-1.73498946862465
0.500002,-1.62030698043282
0.501,-1.50839105667179
0.501998,-1.40453564022761
0.502996,-1.31270734547944
0.503994,-1.23525425827513
0.504992,-1.17304922740893
0.50599,-1.12587001244081
0.506988,-1.09282728057988
0.507986,-1.07272625253605
0.508984,-1.06432227095922
0.509982,-1.06647650530585
0.51098,-1.07823628711275
0.511978,-1.09886611752347
0.512976,-1.1278499835061
0.513974,-1.16487891660479
0.514972,-1.20983206538029
0.51597,-1.26275544221443
0.516968,-1.32383971000236
0.517966,-1.39339646828855
