"Freq [GHz]","dB(S(1,1)) []"
0.002,-0.000399219132240657
0.002998,-0.000625777306558661
0.003996,-0.000933404083093832
0.004994,-0.00131402778515251
0.005992,-0.00175929489214025
0.00699,-0.0022623274435161
0.007988,-0.00282017100536769
0.008986,-0.00343716133890395
0.009984,-0.00412953148014502
0.010982,-0.00525741770677842
0.01198,-0.00650394632182911
0.012978,-0.00787410555817449
0.013976,-0.00938257684327041
0.014974,-0.0110491049685636
0.015972,-0.0128995236972977
0.01697,-0.0149670814999324
0.017968,-0.0172941852708069
0.018966,-0.0199347197683848
0.019964,-0.0229571577884124
0.020962,-0.0264487584364426
0.02196,-0.0305212689821254
0.022958,-0.0353187140014231
0.023956,-0.0410280917704353
0.024954,-0.0478941206149941
0.025952,-0.0562395944723254
0.02695,-0.0664933788403427
0.027948,-0.0792284278882983
0.028946,-0.0952118754946575
0.029944,-0.115466735158528
0.030942,-0.141336246683259
0.03194,-0.174518702588984
0.032938,-0.216985138608655
0.033936,-0.270579397066271
0.034934,-0.33593441231251
0.035932,-0.410314913073214
0.03693,-0.484805561625115
0.037928,-0.543677026681836
0.038926,-0.57036916418701
0.039924,-0.558400911115023
0.040922,-0.51580683175345
0.04192,-0.457887228822945
0.042918,-0.397756266505048
0.043916,-0.34277295070431
0.044914,-0.295624553496311
0.045912,-0.256438411346198
0.04691,-0.224292725684683
0.047908,-0.198001418330389
0.048906,-0.176444439574203
0.049904,-0.158673930998239
0.050902,-0.143925586984724
0.0519,-0.131596396014873
0.052898,-0.121214637216128
0.053896,-0.112411808166408
0.054894,-0.104899310882001
0.055892,-0.0984500743478621
0.05689,-0.0928844205019987
0.057888,-0.0880593128782999
0.058886,-0.0838602082453001
0.059884,-0.0801948781204332
0.060882,-0.0769887109051098
0.06188,-0.0741811256873578
0.062878,-0.0717228227528904
0.063876,-0.0695736669018611
0.064874,-0.0677010525188784
0.065872,-0.0660786383762623
0.06687,-0.0646853689362522
0.067868,-0.0635047201967215
0.068866,-0.0625241239385069
0.069864,-0.0617345360792891
0.070862,-0.0611301238138612
0.07186,-0.0607080531226081
0.072858,-0.0604683636469203
0.073856,-0.0604139222982937
0.074854,-0.0605504506183078
0.075852,-0.0608866240971149
0.07685,-0.0614342445986394
0.077848,-0.0622084899112982
0.078846,-0.0632282474111069
0.079844,-0.0645165420538867
0.080842,-0.0661010725835051
0.08184,-0.0680148741551059
0.082838,-0.0702971307674702
0.083836,-0.0729941672756125
0.084834,-0.0761606586907697
0.085832,-0.0798611044538535
0.08683,-0.0841716280207165
0.087828,-0.0891821782447588
0.088826,-0.0949992297677596
0.089824,-0.101749106359271
0.090822,-0.109582085767177
0.09182,-0.118677489650528
0.092818,-0.129250020856592
0.093816,-0.141557687008873
0.094814,-0.155911749744621
0.095812,-0.172689270254861
0.09681,-0.192348993193034
0.097808,-0.215451533611004
0.098806,-0.242685117833109
0.099804,-0.274898491125991
0.100802,-0.310553290548989
0.1018,-0.352921506891325
0.102798,-0.404875412403484
0.103796,-0.469486355909236
0.104794,-0.550958300867204
0.105792,-0.655096167003787
0.10679,-0.789957550948434
0.107788,-0.96670783568317
0.108786,-1.20058327073378
0.109784,-1.51148842753744
0.110782,-1.92270876035627
0.11178,-2.45377827812478
0.112778,-3.09951973812036
0.113776,-3.78769683237305
0.114774,-4.33886607744371
0.115772,-4.52863150415475
0.11677,-4.28908619916505
0.117768,-3.77737786176117
0.118766,-3.19733172331246
0.119764,-2.66705339818891
0.120762,-2.22441654190611
0.12176,-1.86823147985126
0.122758,-1.58467311255654
0.123756,-1.35849819815743
0.124754,-1.17664126251083
0.125752,-1.02883698029789
0.12675,-0.90729198825254
0.127748,-0.806159347729149
0.128746,-0.721057373861429
0.129744,-0.648688652715313
0.130742,-0.586554924159399
0.13174,-0.53274856161266
0.132738,-0.485801209271285
0.133736,-0.444573847502986
0.134734,-0.408176544781679
0.135732,-0.375909431039549
0.13673,-0.347218878722647
0.137728,-0.321664639284635
0.138726,-0.298894926593262
0.139724,-0.278627311862881
0.140722,-0.260633908238724
0.14172,-0.244729756368493
0.142718,-0.230763630439973
0.143716,-0.21861070519618
0.144714,-0.208166684269707
0.145712,-0.19934310643167
0.14671,-0.192063631016785
0.147708,-0.186261165058717
0.148706,-0.181875738235844
0.149704,-0.17885306167531
0.150702,-0.17714372612053
0.1517,-0.176703006543181
0.152698,-0.177491246349933
0.153696,-0.179474797197569
0.154694,-0.182627492373143
0.155692,-0.186932634975678
0.15669,-0.192385488928251
0.157688,-0.198996273195469
0.158686,-0.206793679371542
0.159684,-0.215828961835019
0.160682,-0.226180689799684
0.16168,-0.237960304037405
0.162678,-0.251318690790292
0.163676,-0.266454075772253
0.164674,-0.283621658690082
0.165672,-0.303145563142866
0.16667,-0.325433882585529
0.167668,-0.350997881666151
0.168666,-0.380476795108419
0.169664,-0.414670199581251
0.170662,-0.454580685624751
0.17166,-0.501470627068413
0.172658,-0.556938383407046
0.173656,-0.623021498003851
0.174654,-0.702337702444875
0.175652,-0.79827929768279
0.17665,-0.915283487045371
0.177648,-1.05921156045574
0.178646,-1.23788503486806
0.179644,-1.461849174823
0.180642,-1.74546691355507
0.18164,-2.10849367900877
0.182638,-2.57835348638403
0.183636,-3.19344349168879
0.184634,-4.00796905400848
0.185632,-5.09909591715282
0.18663,-6.57738076939022
0.187628,-8.59825628269667
0.188626,-11.3341248963565
0.189624,-14.5260741863898
0.190622,-15.5091127185222
0.19162,-12.9133030221028
